dt: 0.01 CellNx: 12 b: 5.26 noParticles: 2048
Kinetic energy     Potential energy   Total energy   Temperature         Pressure   Average displacement
1412.43            12643.3               14055.8         0.459775         7.02763         28.444
1420.48            12651.5               14071.9         0.462395         7.02627         28.6349
1421.98            12652.6               14074.6         0.462884         7.01661         28.8269
1413.08            12643               14056.1         0.459987         7.03999         29.0193
1396.04            12625.4               14021.5         0.454441         7.08227         29.2107
1378.22            12605.6               13983.8         0.448638         7.12418         29.4007
1366.27            12591.5               13957.8         0.444751         7.16146         29.5897
1363.23            12588.9               13952.2         0.44376         7.1727         29.7783
1368.68            12596               13964.7         0.445535         7.15196         29.9673
1378.47            12606.3               13984.8         0.448722         7.1425         30.1571
1387.91            12614.2               14002.1         0.451794         7.13574         30.3477
1394.99            12619.9               14014.9         0.454097         7.12451         30.5387
1401.05            12626.4               14027.5         0.45607         7.1127         30.7298
1407.48            12632.4               14039.8         0.458163         7.10172         30.9212
1413.7            12639               14052.7         0.460187         7.06202         31.1131
1417.15            12641.2               14058.4         0.461312         7.05117         31.3052
1414.85            12639               14053.9         0.460563         7.05438         31.4972
1407.39            12630.9               14038.3         0.458133         7.07535         31.6885
1399.8            12622.3               14022.1         0.455664         7.09001         31.879
1396.17            12618.5               14014.6         0.454481         7.10571         32.069
1396.43            12618.9               14015.3         0.454566         7.1005         32.2591
1398.33            12621.3               14019.6         0.455184         7.09558         32.4495
1400.04            12622.1               14022.1         0.455743         7.1068         32.6404
1401.58            12623.8               14025.3         0.456245         7.10948         32.8317
1403.82            12625.7               14029.5         0.456973         7.10483         33.0234
1406.64            12629.3               14036         0.45789         7.09016         33.2156
1408.86            12630.5               14039.4         0.458612         7.07204         33.408
1410.51            12632.4               14042.9         0.459149         7.06448         33.6003
1411.88            12633.8               14045.7         0.459595         7.07787         33.7924
1412.36            12633.3               14045.7         0.459752         7.07378         33.9842
1411.76            12631.9               14043.7         0.459556         7.08179         34.1758
1410.53            12631.2               14041.7         0.459157         7.08336         34.3672
1410.48            12631.4               14041.9         0.459139         7.0799         34.5584
1412.73            12632.2               14044.9         0.459872         7.07516         34.75
1415.95            12634.2               14050.1         0.460923         7.06603         34.9422
1417.88            12636.7               14054.6         0.461549         7.07258         35.1352
1416.19            12635               14051.2         0.460998         7.06709         35.3285
1410.53            12628.1               14038.6         0.459157         7.09299         35.5215
1403.13            12620.8               14023.9         0.456747         7.10053         35.7137
1396.8            12613.8               14010.6         0.454687         7.0995         35.9053
1394.43            12610               14004.4         0.453915         7.1046         36.097
1397.83            12613               14010.8         0.455021         7.10846         36.2895
1407.89            12623.5               14031.4         0.458299         7.08895         36.4836
1422.87            12637.7               14060.6         0.463173         7.05175         36.6797
1437.52            12653.2               14090.7         0.467942         7.02413         36.8774
1445.82            12661.4               14107.2         0.470645         7.00892         37.0757
1444.86            12659               14103.9         0.470334         7.00978         37.2734
1437.1            12649.7               14086.8         0.467805         7.03158         37.4692
1428.11            12639.7               14067.8         0.464881         7.04314         37.6632
1422.29            12633.3               14055.6         0.462987         7.05442         37.8559
1419.46            12630.7               14050.1         0.462063         7.07003         38.0484
1416.3            12627.9               14044.2         0.461034         7.07999         38.2408
1411.06            12622.3               14033.3         0.45933         7.09353         38.4328
1404.19            12615.1               14019.3         0.457094         7.11554         38.6238
1397.87            12609.1               14007         0.455036         7.1346         38.8135
1393.95            12605.4               13999.3         0.453761         7.14292         39.002
1392.65            12603.6               13996.3         0.453336         7.15382         39.1894
1393.96            12604.1               13998         0.453764         7.1557         39.376
1397.73            12606.7               14004.4         0.45499         7.13765         39.5623
1402.43            12611.1               14013.5         0.456519         7.13724         39.7488
1405.88            12615.4               14021.3         0.457642         7.12311         39.9362
1407            12618.2               14025.2         0.458009         7.1216         40.1249
1406.02            12617.2               14023.2         0.457689         7.12358         40.3149
1403.13            12615.9               14019         0.456747         7.14497         40.5063
1398.06            12609               14007.1         0.455098         7.17784         40.6984
1391.73            12601.1               13992.8         0.453038         7.2035         40.8905
1386.69            12595.1               13981.8         0.451396         7.20478         41.0821
1385.2            12592               13977.2         0.45091         7.20066         41.2732
1388.64            12593.7               13982.4         0.452033         7.19641         41.4641
1397.54            12602               13999.5         0.45493         7.16422         41.655
1409.59            12614.3               14023.9         0.45885         7.13174         41.8467
1420.82            12625.4               14046.2         0.462508         7.11446         42.0392
1429.29            12633.2               14062.5         0.465263         7.10503         42.2325
1434.44            12638.4               14072.9         0.466939         7.08626         42.4264
1436.2            12639.8               14076         0.467515         7.07903         42.6207
1435.06            12637.9               14073         0.46714         7.07895         42.8149
1432.29            12634.3               14066.6         0.466241         7.06035         43.0088
1430.27            12633               14063.2         0.465584         7.04846         43.2022
1430.98            12633.2               14064.2         0.465814         7.04915         43.3957
1433.95            12636.2               14070.2         0.466782         7.03874         43.5899
1435.99            12637.9               14073.9         0.467446         7.04613         43.7849
1433.31            12635.3               14068.6         0.466572         7.06631         43.9803
1424.35            12626.8               14051.2         0.463656         7.08996         44.1751
1410.12            12612               14022.1         0.459024         7.1235         44.3684
1393.41            12595.1               13988.5         0.453583         7.15243         44.5595
1379.17            12580               13959.2         0.448947         7.19119         44.7482
1372.4            12573.3               13945.7         0.446744         7.21128         44.9352
1374.07            12575               13949.1         0.447289         7.19839         45.1217
1380.54            12582.3               13962.8         0.449396         7.18449         45.3088
1386.91            12589.3               13976.2         0.451467         7.16908         45.4969
1390.55            12594               13984.5         0.452652         7.16111         45.6855
1392.33            12593               13985.3         0.453232         7.16058         45.8741
1395.67            12595.6               13991.3         0.454318         7.15324         46.0624
1402.77            12603.3               14006.1         0.45663         7.13276         46.2508
1413.01            12613               14026         0.459966         7.11168         46.44
1424.53            12625               14049.6         0.463713         7.08392         46.6307
1434.75            12634.7               14069.5         0.467041         7.06653         46.8231
1441.41            12640.8               14082.2         0.469209         7.04057         47.0171
1443.6            12642.7               14086.3         0.469923         7.03783         47.2122
1442.63            12640.5               14083.1         0.469605         7.0601         47.4078
1440.58            12637               14077.5         0.46894         7.06643         47.6037
1438.37            12633.4               14071.8         0.468218         7.08516         47.7998
1435.84            12629.7               14065.5         0.467394         7.1023         47.9962
1432.08            12626.4               14058.4         0.466173         7.10985         48.1931
1426.06            12620.9               14047         0.464211         7.12066         48.3902
1418.36            12613               14031.4         0.461704         7.13281         48.587
1411.66            12606.2               14017.8         0.459524         7.1362         48.7832
1407.75            12600.9               14008.6         0.458252         7.14525         48.9786
1406.27            12598.7               14005         0.457772         7.14336         49.1733
1405.78            12598.4               14004.2         0.457611         7.13547         49.367
1406.21            12600.5               14006.7         0.457749         7.14076         49.5597
1409.55            12604.7               14014.3         0.458838         7.13002         49.7515
1416.51            12610.7               14027.2         0.461103         7.11638         49.9434
1425.1            12617.4               14042.5         0.4639         7.11459         50.1362
1431.54            12624.5               14056         0.465996         7.10738         50.3305
1432.96            12629               14062         0.466458         7.08903         50.5261
1428.84            12623.9               14052.7         0.465118         7.09953         50.7225
1421.63            12616.5               14038.1         0.46277         7.11026         50.9188
1414.25            12608.2               14022.4         0.460368         7.1261         51.1144
1407.95            12601.5               14009.5         0.458318         7.12295         51.3088
1404.67            12597.6               14002.3         0.457249         7.12295         51.5018
1406.29            12599.1               14005.4         0.457776         7.11893         51.6936
1411.92            12603.2               14015.1         0.459611         7.10721         51.8849
1419.43            12608.1               14027.5         0.462055         7.11112         52.0762
1426.61            12615.3               14042         0.464393         7.10633         52.268
1432.35            12621.5               14053.8         0.466259         7.09594         52.4601
1437.86            12626               14063.9         0.468053         7.10338         52.6528
1442.76            12630.1               14072.9         0.469647         7.09228         52.8464
1444.62            12630.2               14074.8         0.470256         7.10099         53.0411
1442.14            12627.8               14069.9         0.469446         7.08238         53.2365
1436.7            12621.7               14058.4         0.467677         7.09242         53.4318
1430.58            12613.4               14044         0.465684         7.11479         53.6265
1424.28            12606.7               14031         0.463634         7.13581         53.8203
1416.66            12598.3               14014.9         0.461153         7.16052         54.0132
1407.67            12589.4               13997.1         0.458227         7.17876         54.2049
1399.11            12581.8               13980.9         0.45544         7.20213         54.3953
1393.8            12576               13969.8         0.45371         7.2177         54.5849
1393.48            12575.1               13968.6         0.453606         7.22184         54.7745
1397.6            12578.5               13976.1         0.454949         7.21389         54.9647
1404.36            12584.9               13989.3         0.45715         7.17697         55.1558
1412.68            12592.3               14005         0.459857         7.15223         55.3478
1422.4            12600.3               14022.7         0.463021         7.13705         55.5406
1431.98            12610.9               14042.8         0.46614         7.11842         55.7346
1438.89            12618               14056.9         0.46839         7.09223         55.9298
1441.58            12619.8               14061.4         0.469265         7.10171         56.1259
1440.41            12616.1               14056.5         0.468883         7.11429         56.3222
1436.31            12612.6               14048.9         0.467547         7.11959         56.5182
1430            12607.3               14037.3         0.465493         7.13053         56.7131
1421.98            12598.6               14020.6         0.462886         7.13989         56.9066
1413.48            12590.6               14004.1         0.460117         7.16608         57.0981
1407.53            12585               13992.6         0.458181         7.17017         57.2878
1406.88            12584.4               13991.3         0.45797         7.15833         57.4761
1411.06            12589.3               14000.4         0.459331         7.14316         57.6643
1416.32            12593.8               14010.1         0.461043         7.13475         57.8529
1419.58            12595.7               14015.3         0.462102         7.13722         58.0421
1420.38            12596.2               14016.6         0.462365         7.14343         58.2319
1421.27            12596.2               14017.5         0.462654         7.14478         58.4222
1424.57            12598.9               14023.5         0.463729         7.13993         58.6137
1429.98            12604.9               14034.9         0.465487         7.12484         58.8068
1435.27            12608.6               14043.8         0.46721         7.11434         59.0017
1437.79            12610.8               14048.6         0.46803         7.11675         59.1979
1436.41            12607.5               14043.9         0.467583         7.14321         59.3948
1431.3            12602.4               14033.7         0.465918         7.1409         59.5915
1424.83            12595.2               14020.1         0.46381         7.14522         59.7873
1421.39            12591.3               14012.7         0.462693         7.16124         59.9821
1423.51            12593.1               14016.6         0.463382         7.15349         60.1763
1430.83            12602.7               14033.5         0.465766         7.14655         60.3707
1439.56            12611.7               14051.3         0.468607         7.13415         60.5662
1445.13            12615.5               14060.6         0.470421         7.12179         60.7628
1445.06            12615.4               14060.5         0.470398         7.10932         60.9603
1439.36            12607.1               14046.5         0.468542         7.13121         61.1579
1430.78            12599               14029.8         0.465747         7.15193         61.3548
1423.3            12591.1               14014.4         0.463314         7.17625         61.5505
1420.85            12586.8               14007.7         0.462518         7.18149         61.7452
1425.16            12589.3               14014.5         0.463919         7.1726         61.9394
1434.05            12599.4               14033.5         0.466812         7.16305         62.1337
1442.63            12607.2               14049.8         0.469607         7.13761         62.3285
1447.51            12612.2               14059.7         0.471194         7.12646         62.5236
1448.13            12612               14060.1         0.471395         7.11903         62.7186
1445.39            12608               14053.4         0.470505         7.11796         62.9133
1439.8            12603.4               14043.2         0.468686         7.13222         63.1074
1432.27            12595.9               14028.2         0.466235         7.14095         63.3005
1425.02            12589               14014.1         0.463874         7.15325         63.4925
1420.99            12586.2               14007.2         0.462563         7.16585         63.6836
1422.26            12588               14010.3         0.462974         7.17482         63.8747
1428.46            12593.1               14021.5         0.464992         7.18667         64.0668
1435.98            12599.7               14035.7         0.46744         7.17722         64.2605
1439.5            12604.3               14043.8         0.468586         7.17612         64.4556
1437.05            12602.1               14039.1         0.46779         7.18237         64.6512
1430.49            12595.1               14025.6         0.465654         7.19582         64.8464
1423.89            12589.5               14013.4         0.463504         7.2018         65.0404
1422.06            12585.4               14007.5         0.462911         7.19647         65.2332
1427.55            12588               14015.6         0.464698         7.17838         65.4253
1438.55            12598.1               14036.6         0.468278         7.15242         65.6177
1449.44            12609.9               14059.4         0.471823         7.11206         65.8114
1454.62            12615.7               14070.4         0.473509         7.08597         66.0065
1452.25            12612.6               14064.9         0.472737         7.0927         66.2027
1443.39            12603               14046.4         0.469853         7.11573         66.3992
1430.9            12589.3               14020.2         0.465788         7.14685         66.5953
1418.99            12577.7               13996.7         0.461912         7.17227         66.7899
1412.06            12569.7               13981.8         0.459654         7.20729         66.9831
1411.55            12568.6               13980.2         0.45949         7.21811         67.1753
1414.22            12570.8               13985         0.460357         7.21323         67.3672
1414.91            12571.2               13986.1         0.460584         7.2302         67.559
1411.52            12567.9               13979.4         0.45948         7.23465         67.7505
1406.31            12561.2               13967.5         0.457784         7.24166         67.9414
1403.5            12556.4               13959.9         0.456869         7.25068         68.1319
1406.04            12559               13965         0.457696         7.23264         68.3226
1414.46            12567.9               13982.3         0.460437         7.19997         68.5141
1427.68            12579.2               14006.9         0.464739         7.18612         68.7069
1443.34            12594.2               14037.6         0.469838         7.15976         68.9015
1458.58            12610.8               14069.4         0.474799         7.13114         69.0981
1470.69            12622.2               14092.9         0.478739         7.11386         69.2969
1477.56            12628.1               14105.7         0.480977         7.10592         69.4975
1478.1            12627.4               14105.5         0.481152         7.12262         69.6991
1472.8            12622.3               14095.1         0.479428         7.13373         69.9007
1463.21            12612.7               14076         0.476306         7.15766         70.1013
1452.33            12601.3               14053.6         0.472764         7.17263         70.3003
1442.98            12592.5               14035.4         0.469721         7.18263         70.4975
1436.54            12583.7               14020.3         0.467625         7.18448         70.693
1433.15            12578.8               14012         0.466521         7.19194         70.8876
1433            12579.2               14012.2         0.466472         7.17839         71.0818
1436.73            12584.7               14021.4         0.467685         7.17354         71.2764
1443.47            12593.3               14036.8         0.469881         7.15961         71.4722
1450.35            12599.4               14049.8         0.472118         7.16066         71.6694
1452.73            12600.1               14052.9         0.472895         7.18152         71.8677
1446.3            12592               14038.3         0.4708         7.20924         72.0656
1431.45            12576.9               14008.4         0.465968         7.23409         72.2618
1414.53            12560.3               13974.8         0.46046         7.26835         72.4556
1402.7            12547.4               13950.1         0.456607         7.29336         72.6473
1400.07            12544.8               13944.9         0.45575         7.29651         72.8381
1406.66            12550.3               13957         0.457896         7.27959         73.0292
1419.35            12563.3               13982.6         0.462028         7.25586         73.2214
1434.37            12577.2               14011.6         0.466917         7.22618         73.4152
1448.68            12591.1               14039.7         0.471577         7.18716         73.6108
1458.85            12601.3               14060.1         0.474885         7.15826         73.8078
1462.6            12605.5               14068.1         0.476106         7.15774         74.0055
1461.19            12604.1               14065.2         0.475649         7.16492         74.2029
1456.85            12600.3               14057.2         0.474234         7.18807         74.3996
1451.1            12594.1               14045.2         0.472362         7.20502         74.5952
1445.96            12588.7               14034.7         0.47069         7.21502         74.7898
1443.56            12584.3               14027.8         0.469909         7.22122         74.9839
1444.82            12584               14028.9         0.470318         7.21091         75.1782
1449.22            12586.6               14035.8         0.471751         7.20871         75.3733
1454.52            12592.6               14047.1         0.473475         7.19258         75.5693
1456.96            12595.1               14052.1         0.47427         7.19031         75.7657
1453.13            12590               14043.1         0.473025         7.20483         75.9613
1442.64            12577.3               14019.9         0.469609         7.22371         76.1549
1428.88            12563.7               13992.6         0.465129         7.25297         76.3456
1417.17            12552.3               13969.5         0.46132         7.27759         76.5334
1411.83            12546               13957.9         0.45958         7.28665         76.7193
1413.36            12549               13962.3         0.460079         7.26668         76.9046
1418.46            12555.2               13973.7         0.461737         7.2533         77.0907
1424.43            12559.9               13984.3         0.463681         7.24551         77.278
1430.87            12566.1               13997         0.465777         7.23202         77.4666
1438.03            12573.5               14011.6         0.468108         7.20474         77.6568
1446.17            12579.9               14026.1         0.470758         7.1869         77.8486
1454.44            12586.6               14041.1         0.473449         7.16906         78.0422
1461.52            12595.1               14056.6         0.475757         7.16192         78.2374
1466.71            12600.8               14067.6         0.477444         7.15903         78.4335
1469.99            12603.9               14073.9         0.478514         7.16582         78.6301
1471.29            12605.4               14076.7         0.478936         7.15404         78.8267
1470.13            12602.4               14072.5         0.478558         7.16178         79.023
1466.13            12598.6               14064.8         0.477255         7.17372         79.2188
1458.69            12589.7               14048.4         0.474836         7.18887         79.4134
1448.7            12579.1               14027.8         0.471582         7.21313         79.6063
1439.46            12569.7               14009.1         0.468574         7.24113         79.7973
1435.31            12565.8               14001.1         0.467223         7.251         79.987
1438.08            12567.8               14005.9         0.468123         7.24394         80.1767
1446.06            12574.4               14020.5         0.470723         7.22679         80.3676
1455.5            12582.9               14038.4         0.473796         7.21683         80.5604
1462.37            12591.1               14053.4         0.476032         7.19689         80.7554
1464.33            12592               14056.3         0.476671         7.18455         80.9523
1461.15            12588.7               14049.9         0.475634         7.18581         81.1505
1454.76            12580.4               14035.2         0.473553         7.19827         81.3492
1447.74            12571.9               14019.7         0.47127         7.21761         81.5476
1442.42            12566.4               14008.8         0.469539         7.23322         81.7452
1440.75            12563.4               14004.1         0.468994         7.23358         81.9417
1442.93            12568.3               14011.2         0.469704         7.22284         82.1373
1447.47            12570.7               14018.2         0.471181         7.21372         82.3326
1453.12            12576.5               14029.6         0.47302         7.20289         82.5282
1459.22            12580.8               14040         0.475007         7.20684         82.7244
1464.88            12586.4               14051.3         0.476848         7.20176         82.9215
1468.87            12590.2               14059         0.478148         7.19679         83.119
1470.64            12590.6               14061.2         0.478722         7.20187         83.3162
1469.77            12590.2               14060         0.478442         7.1907         83.5127
1466.02            12587.3               14053.3         0.477221         7.20669         83.708
1459.37            12581.4               14040.8         0.475057         7.22188         83.9021
1450.51            12571.3               14021.9         0.472171         7.25088         84.0954
1441.45            12562.6               14004         0.469221         7.26597         84.2881
1434.88            12556.3               13991.2         0.467083         7.26981         84.481
1433.1            12553.4               13986.5         0.466505         7.27135         84.6746
1435.95            12555.8               13991.7         0.46743         7.2639         84.8692
1441.08            12561               14002         0.469103         7.24803         85.0648
1446.75            12566.2               14012.9         0.470948         7.23621         85.261
1451.69            12570.1               14021.8         0.472557         7.21455         85.4576
1453.94            12572.1               14026         0.473286         7.2071         85.654
1452.72            12570.9               14023.6         0.472891         7.20662         85.8499
1450.07            12567.3               14017.3         0.472027         7.22234         86.0451
1448.31            12567.5               14015.8         0.471454         7.23903         86.2396
1447.74            12564.1               14011.8         0.471269         7.26734         86.4337
1447.26            12563.1               14010.4         0.471112         7.27438         86.6276
1445.98            12561.4               14007.3         0.470696         7.27914         86.821
1444.82            12561.6               14006.4         0.470318         7.27568         87.014
1445.82            12561.7               14007.5         0.470645         7.26259         87.2067
1450.87            12567.5               14018.4         0.472289         7.24065         87.3995
1459.07            12575.8               14034.9         0.474959         7.21434         87.593
1466.73            12582.5               14049.2         0.47745         7.19585         87.7872
1471.08            12587.6               14058.6         0.478867         7.18194         87.9817
1471.76            12589.1               14060.8         0.479088         7.18084         88.1761
1469.24            12585.9               14055.1         0.47827         7.18626         88.3704
1463.52            12578.2               14041.7         0.476407         7.21808         88.5645
1455.06            12569.7               14024.7         0.473652         7.24629         88.7585
1445.44            12560               14005.5         0.470521         7.29088         88.952
1437.18            12551.8               13989         0.467833         7.32601         89.145
1432.8            12546.6               13979.4         0.466405         7.33831         89.3378
1434.31            12548.1               13982.5         0.466897         7.32972         89.5308
